Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
2,29370,29346.8,29345.6,29350.9,28632.3
3,29560,29535.1,29536,29541.2,28821.6
4,29730,29723.4,29726.3,29731.5,29011
5,29940,29911.8,29916.6,29921.8,29200.4
6,30110,30100.1,30106.9,30112.1,29389.7
7,30280,30288.4,30297.2,30302.4,29579.1
8,30470,30476.7,30487.5,30492.7,29768.5
9,30660,30665,30677.9,30683.1,29957.8
10,30830,30853.3,30868.2,30873.4,30147.2
11,31020,31041.6,31058.5,31063.7,30336.6
12,31250,31230,31248.8,31254,30525.9
1,31660,31645.7,31618.5,31618.3,30904.7
2,31840,31832.6,31808.3,31807.8,31094
3,32050,32019.5,31998.2,31997.3,31283.4
4,32240,32206.4,32188.1,32186.8,31472.7
5,32450,32393.3,32377.9,32376.3,31662.1
6,32560,32580.2,32567.8,32565.8,31851.5
7,32770,32767.1,32757.7,32755.3,32040.8
8,32940,32954.1,32947.6,32944.8,32230.2
9,33100,33141,33137.4,33134.3,32419.6
10,33280,33327.9,33327.3,33323.8,32608.9
11,33500,33514.8,33517.2,33513.3,32798.3
12,33690,33701.7,33707,33702.8,32987.7
1,33930,33888.6,33896.9,33892.2,33177
2,34100,34075.5,34086.8,34081.7,33366.4
3,34310,34262.5,34276.7,34271.2,33555.8
4,34460,34449.4,34466.5,34460.7,33745.1
5,34660,34636.3,34656.4,34650.2,33934.5
6,34820,34823.2,34846.3,34839.7,34123.9
7,34980,35010.1,35036.1,35029.2,34313.2
8,35180,35197,35226,35218.7,34502.6
9,35360,35383.9,35415.9,35408.2,34691.9
10,35560,35570.8,35605.8,35597.7,34881.3
11,35720,35757.8,35795.6,35787.2,35070.7
12,35980,35944.7,35985.5,35976.7,35260
1,36340,36358.7,36347.3,36340.5,35638.8
2,36560,36546.1,36536.6,36529.5,35828.1
3,36740,36733.4,36725.9,36718.4,36017.5
4,36960,36920.7,36915.2,36907.3,36206.9
5,37110,37108,37104.5,37096.3,36396.2
6,37340,37295.3,37293.8,37285.2,36585.6
7,37470,37482.7,37483.1,37474.2,36775
8,37640,37670,37672.4,37663.1,36964.3
9,37820,37857.3,37861.7,37852,37153.7
10,38000,38044.6,38051,38041,37343
11,38170,38231.9,38240.3,38229.9,37532.4
12,38430,38419.3,38429.6,38418.9,37721.8
1,38640,38606.6,38618.9,38607.8,37911.1
2,38810,38793.9,38808.1,38796.7,38100.5
3,39020,38981.2,38997.4,38985.7,38289.9
4,39190,39168.5,39186.7,39174.6,38479.2
5,39380,39355.9,39376,39363.6,38668.6
6,39550,39543.2,39565.3,39552.5,38858
7,39730,39730.5,39754.6,39741.4,39047.3
8,39880,39917.8,39943.9,39930.4,39236.7
9,40110,40105.1,40133.2,40119.3,39426.1
10,40270,40292.5,40322.5,40308.3,39615.4
11,40450,40479.8,40511.8,40497.2,39804.8
12,40710,40667.1,40701.1,40686.1,39994.1
1,41070,41069.6,41060.4,41049.6,40372.9
2,41240,41256.7,41249.1,41238.2,40562.2
3,41410,41443.7,41437.8,41426.7,40751.6
4,41640,41630.8,41626.5,41615.3,40941
5,41800,41817.9,41815.2,41803.8,41130.3
6,42030,42004.9,42003.9,41992.4,41319.7
7,42180,42192,42192.7,42180.9,41509.1
8,42360,42379,42381.4,42369.5,41698.4
9,42550,42566.1,42570.1,42558,41887.8
10,42690,42753.2,42758.8,42746.5,42077.2
11,42900,42940.2,42947.5,42935.1,42266.5
12,43110,43127.3,43136.2,43123.6,42455.9
1,43360,43314.3,43325,43312.2,42645.2
2,43550,43501.4,43513.7,43500.7,42834.6
3,43690,43688.4,43702.4,43689.3,43024
4,43910,43875.5,43891.1,43877.8,43213.3
5,44120,44062.6,44079.8,44066.4,43402.7
6,44270,44249.6,44268.5,44254.9,43592.1
7,44410,44436.7,44457.3,44443.5,43781.4
8,44600,44623.7,44646,44632,43970.8
9,44810,44810.8,44834.7,44820.6,44160.2
10,44980,44997.8,45023.4,45009.1,44349.5
11,45170,45184.9,45212.1,45197.7,44538.9
12,45380,45372,45400.9,45386.2,44728.3
1,45760,45769.5,45761.2,45749.9,45107
2,45930,45956.3,45949.4,45938.1,45296.3
3,46120,46143.1,46137.6,46126.3,45485.7
4,46340,46329.9,46325.8,46314.5,45675.1
5,46520,46516.7,46514.1,46502.7,45864.4
6,46720,46703.6,46702.3,46690.9,46053.8
7,46850,46890.4,46890.5,46879.1,46243.2
8,47040,47077.2,47078.7,47067.3,46432.5
9,47250,47264,47266.9,47255.5,46621.9
10,47400,47450.9,47455.2,47443.7,46811.3
11,47640,47637.7,47643.4,47631.9,47000.6
12,47830,47824.5,47831.6,47820.1,47190
1,48030,48011.3,48019.8,48008.3,47379.4
2,48200,48198.2,48208,48196.5,47568.7
3,48430,48385,48396.2,48384.7,47758.1
4,48570,48571.8,48584.5,48572.9,47947.4
5,48780,48758.6,48772.7,48761,48136.8
6,48960,48945.4,48960.9,48949.2,48326.2
7,49100,49132.3,49149.1,49137.4,48515.5
8,49320,49319.1,49337.3,49325.6,48704.9
9,49510,49505.9,49525.6,49513.8,48894.3
10,49700,49692.7,49713.8,49702,49083.6
11,49860,49879.6,49902,49890.2,49273
12,50080,50066.4,50090.2,50078.4,49462.4
1,50480,50463.6,50451.6,50434.4,49841.1
2,50670,50649.7,50639.4,50622.8,50030.5
3,50820,50835.9,50827.1,50811.2,50219.8
4,51030,51022,51014.9,50999.7,50409.2
5,51190,51208.1,51202.7,51188.1,50598.6
6,51380,51394.2,51390.4,51376.5,50787.9
7,51550,51580.3,51578.2,51564.9,50977.3
8,51730,51766.5,51765.9,51753.4,51166.6
9,51950,51952.6,51953.7,51941.8,51356
10,52110,52138.7,52141.5,52130.2,51545.4
11,52260,52324.8,52329.2,52318.6,51734.7
12,52530,52511,52517,52507,51924.1
1,52730,52697.1,52704.7,52695.5,52113.5
2,52920,52883.2,52892.5,52883.9,52302.8
3,53060,53069.3,53080.2,53072.3,52492.2
4,53280,53255.4,53268,53260.7,52681.6
5,53490,53441.6,53455.8,53449.1,52870.9
6,53610,53627.7,53643.5,53637.6,53060.3
7,53760,53813.8,53831.3,53826,53249.7
8,53960,53999.9,54019,54014.4,53439
9,54200,54186,54206.8,54202.8,53628.4
10,54370,54372.2,54394.5,54391.3,53817.7
11,54550,54558.3,54582.3,54579.7,54007.1
12,54800,54744.4,54770.1,54768.1,54196.5
1,55160,55155.8,55147.4,55142.9,54575.2
2,55370,55342.9,55335.1,55331.2,54764.6
3,55540,55530,55522.9,55519.5,54953.9
4,55760,55717.1,55710.7,55707.9,55143.3
5,55920,55904.1,55898.5,55896.2,55332.7
6,56120,56091.2,56086.3,56084.6,55522
7,56260,56278.3,56274,56272.9,55711.4
8,56450,56465.4,56461.8,56461.2,55900.8
9,56600,56652.5,56649.6,56649.6,56090.1
10,56750,56839.6,56837.4,56837.9,56279.5
11,56980,57026.7,57025.1,57026.2,56468.8
12,57210,57213.8,57212.9,57214.6,56658.2
1,57390,57400.9,57400.7,57402.9,56847.6
2,57620,57587.9,57588.5,57591.3,57036.9
3,57880,57775,57776.3,57779.6,57226.3
4,57980,57962.1,57964,57967.9,57415.7
5,58170,58149.2,58151.8,58156.3,57605
6,58320,58336.3,58339.6,58344.6,57794.4
7,58510,58523.4,58527.4,58532.9,57983.8
8,58710,58710.5,58715.2,58721.3,58173.1
9,58910,58897.6,58902.9,58909.6,58362.5
10,59080,59084.7,59090.7,59098,58551.9
11,59230,59271.7,59278.5,59286.3,58741.2
12,59490,59458.8,59466.3,59474.6,58930.6
1,59840,59852.1,59837,59826.4,59309.3
2,60050,60038.4,60024.6,60014.6,59498.7
3,60240,60224.8,60212.2,60202.9,59688
4,60420,60411.2,60399.9,60391.2,59877.4
5,60560,60597.5,60587.5,60579.5,60066.8
6,60770,60783.9,60775.1,60767.8,60256.1
7,60940,60970.3,60962.7,60956.1,60445.5
8,61140,61156.6,61150.4,61144.4,60634.9
9,61330,61343,61338,61332.7,60824.2
10,61470,61529.4,61525.6,61520.9,61013.6
11,61720,61715.7,61713.2,61709.2,61203
12,61950,61902.1,61900.9,61897.5,61392.3
1,62100,62088.5,62088.5,62085.8,61581.7
2,62270,62274.8,62276.1,62274.1,61771
3,62480,62461.2,62463.7,62462.4,61960.4
4,62660,62647.6,62651.4,62650.7,62149.8
5,62850,62834,62839,62839,62339.1
6,62950,63020.3,63026.6,63027.3,62528.5
7,63170,63206.7,63214.2,63215.5,62717.9
8,63360,63393.1,63401.9,63403.8,62907.2
9,63590,63579.4,63589.5,63592.1,63096.6
10,63760,63765.8,63777.1,63780.4,63286
11,63950,63952.2,63964.7,63968.7,63475.3
12,64230,64138.5,64152.4,64157,63664.7
1,64590,64545.8,64533.1,64520.8,64043.4
2,64760,64732.7,64720.8,64710,64232.8
3,64910,64919.7,64908.6,64899.2,64422.2
4,65120,65106.7,65096.3,65088.4,64611.5
5,65250,65293.6,65284,65277.6,64800.9
6,65470,65480.6,65471.8,65466.8,64990.2
7,65650,65667.5,65659.5,65656,65179.6
8,65850,65854.5,65847.3,65845.2,65369
9,66010,66041.4,66035,66034.4,65558.3
10,66180,66228.4,66222.8,66223.6,65747.7
11,66370,66415.3,66410.5,66412.9,65937.1
12,66600,66602.3,66598.3,66602.1,66126.4
1,66850,66789.3,66786,66791.3,66315.8
2,67030,66976.2,66973.8,66980.5,66505.2
